age,Sr,eSr,d13C,ed13C,d34S,ed34S,fR,efR,fL,efL,fA,efA,fA_Godderis,efA_Godderis,fAw_fA,efAw_fA,fAw_fA_Godderis,efAw_fA_Godderis,fD,efD,fD_Godderis,efD_Godderis,RT,eRT,GEOG,eGEOG,GEOG_Godderis,eGEOG_Godderis,fSR,efSR,fC,efC,fHR,efHR,fHRall,efHRall
553,90,2.419794621,0,0.383574975,24.64,0.936205985,1.02296,0.0818368,0.63,0.252,0.915,0.4575,1,0.225,1,0.2,0.8132,0.4066,1.12,0.56,0.56185567,0.126417526,0.038090335,0.0190451675,-0.4,5,-7.323,1.25,1.152,0.2016,0.75,0.16875,0,0,0,0
552,90,2.419794621,0,0.383574975,24.86,0.936205985,1.02344,0.0818752,0.63,0.252,0.91,0.455,1,0.225,1,0.2,0.8132,0.4066,1.12,0.56,0.56185567,0.126417526,0.038961278,0.019480639,-0.4,5,-7.323,1.25,1.168,0.2044,0.75,0.16875,0,0,0,0
551,90,2.419794621,0,0.383574975,25.08,0.936205985,1.02392,0.0819136,0.63,0.252,0.905,0.4525,1,0.225,1,0.2,0.8132,0.4066,1.12,0.56,0.56185567,0.126417526,0.039832221,0.0199161105,-0.4,5,-7.323,1.25,1.184,0.2072,0.75,0.16875,0,0,0,0
550,90,2.419794621,0,0.383574975,25.3,0.936205985,1.0244,0.081952,0.63,0.252,0.9,0.45,1,0.225,1,0.2,0.8132,0.4066,1.12,0.56,0.56185567,0.126417526,0.040703164,0.020351582,-0.4,5,-7.323,1.25,1.2,0.21,0.75,0.16875,0,0,0,0
549,90,2.419794621,0,0.383574975,25.54,0.936205985,1.02468,0.0819744,0.63,0.252,0.895,0.4475,0.999,0.224775,1,0.2,0.8132,0.4066,1.12,0.56,0.56185567,0.126417526,0.0392456766,0.0196228383,-0.3,5,-7.323,1.25,1.215,0.212625,0.75,0.16875,0,0,0,0
548,90,2.419794621,0,0.383574975,25.78,0.936205985,1.02496,0.0819968,0.63,0.252,0.89,0.445,0.998,0.22455,1,0.2,0.8132,0.4066,1.12,0.56,0.56185567,0.126417526,0.0377881892,0.0188940946,-0.2,5,-7.323,1.25,1.23,0.21525,0.75,0.16875,0,0,0,0
547,90,2.419794621,0,0.383574975,26.02,0.936205985,1.02524,0.0820192,0.63,0.252,0.885,0.4425,0.997,0.224325,1,0.2,0.8132,0.4066,1.12,0.56,0.56185567,0.126417526,0.0363307018,0.0181653509,-0.1,5,-7.323,1.25,1.245,0.217875,0.75,0.16875,0,0,0,0
546,90,2.419794621,0,0.383574975,26.26,0.936205985,1.02552,0.0820416,0.63,0.252,0.88,0.44,0.996,0.2241,1,0.2,0.8132,0.4066,1.12,0.56,0.56185567,0.126417526,0.0348732144,0.0174366072,0,5,-7.323,1.25,1.26,0.2205,0.75,0.16875,0,0,0,0
545,90,2.419794621,0,0.383574975,26.5,0.936205985,1.0258,0.082064,0.63,0.252,0.875,0.4375,0.995,0.223875,1,0.2,0.8132,0.4066,1.12,0.56,0.56185567,0.126417526,0.033415727,0.0167078635,0.1,5,-7.323,1.25,1.275,0.223125,0.75,0.16875,0,0,0,0
544,90,2.419794621,0,0.383574975,26.74,0.936205985,1.02608,0.0820864,0.63,0.252,0.87,0.435,0.994,0.22365,1,0.2,0.8132,0.4066,1.12,0.56,0.56185567,0.126417526,0.0319582396,0.0159791198,0.2,5,-7.323,1.25,1.29,0.22575,0.75,0.16875,0,0,0,0
543,90,2.419794621,0,0.383574975,26.98,0.936205985,1.02636,0.0821088,0.63,0.252,0.865,0.4325,0.993,0.223425,1,0.2,0.8132,0.4066,1.12,0.56,0.56185567,0.126417526,0.0305007522,0.0152503761,0.3,5,-7.323,1.25,1.305,0.228375,0.75,0.16875,0,0,0,0
542,90,2.419794621,0,0.383574975,27.22,0.936205985,1.02664,0.0821312,0.63,0.252,0.86,0.43,0.992,0.2232,1,0.2,0.8132,0.4066,1.12,0.56,0.56185567,0.126417526,0.0290432648,0.0145216324,0.4,5,-7.323,1.25,1.32,0.231,0.75,0.16875,0,0,0,0
